!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E0I' TableTitle='D1_LTP_time_window_SBtab E0I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E0IT0	0	60	0	20
E0IT1	0.01	60	0.01	20
E0IT2	0.02	60	0.02	489.9088
E0IT3	0.03	60	0.03	827.2034
E0IT4	0.04	60	0.04	1066.5044
E0IT5	0.05	60	0.05	1233.4534
E0IT6	0.06	60	0.06	1347.0405
E0IT7	0.07	60	0.07	1421.3287
E0IT8	0.08	60	0.08	1466.7306
E0IT9	0.09	60	0.09	1490.9548
E0IT10	0.1	60	0.1	1499.7069
E0IT11	0.11	60	0.11	1497.2088
E0IT12	0.12	60	0.12	1486.5831
E0IT13	0.13	60	0.13	1470.1384
E0IT14	0.14	60	0.14	1449.5805
E0IT15	0.15	60	0.15	1426.1681
E0IT16	0.16	60	0.16	1400.8297
E0IT17	0.17	60	0.17	1374.2485
E0IT18	0.18	60	0.18	1346.9265
E0IT19	0.19	60	0.19	1319.2315
E0IT20	0.2	60	0.2	1291.4317
E0IT21	0.21	60	0.21	1263.7221
E0IT22	0.22	60	0.22	1236.2432
E0IT23	0.23	60	0.23	1209.0952
E0IT24	0.24	60	0.24	1182.3488
E0IT25	0.25	60	0.25	1156.0527
E0IT26	0.26	60	0.26	1130.2395
E0IT27	0.27	60	0.27	1104.9299
E0IT28	0.28	60	0.28	1080.1358
E0IT29	0.29	60	0.29	1055.8628
E0IT30	0.3	60	0.3	1032.1119
E0IT31	0.31	60	0.31	1008.8805
E0IT32	0.32	60	0.32	986.164
E0IT33	0.33	60	0.33	963.9556
E0IT34	0.34	60	0.34	942.2475
E0IT35	0.35	60	0.35	921.0311
E0IT36	0.36	60	0.36	900.2972
E0IT37	0.37	60	0.37	880.0363
E0IT38	0.38	60	0.38	860.2387
E0IT39	0.39	60	0.39	840.8946
E0IT40	0.4	60	0.4	821.9941
E0IT41	0.41	60	0.41	803.5276
E0IT42	0.42	60	0.42	785.4853
E0IT43	0.43	60	0.43	767.8578
E0IT44	0.44	60	0.44	750.6358
E0IT45	0.45	60	0.45	733.8099
E0IT46	0.46	60	0.46	717.3713
E0IT47	0.47	60	0.47	701.311
