!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E3I' TableTitle='D1_LTP_time_window_SBtab E3I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E3IT0	0	60	0	20
E3IT1	0.01	60	0.01	20
E3IT2	0.02	60	0.02	20
E3IT3	0.03	60	0.03	20
E3IT4	0.04	60	0.04	20
E3IT5	0.05	60	0.05	20
E3IT6	0.06	60	0.06	20
E3IT7	0.07	60	0.07	20
E3IT8	0.08	60	0.08	20
E3IT9	0.09	60	0.09	20
E3IT10	0.1	60	0.1	20
E3IT11	0.11	60	0.11	20
E3IT12	0.12	60	0.12	20
E3IT13	0.13	60	0.13	20
E3IT14	0.14	60	0.14	20
E3IT15	0.15	60	0.15	20
E3IT16	0.16	60	0.16	20
E3IT17	0.17	60	0.17	20
E3IT18	0.18	60	0.18	20
E3IT19	0.19	60	0.19	20
E3IT20	0.2	60	0.2	20
E3IT21	0.21	60	0.21	20
E3IT22	0.22	60	0.22	20
E3IT23	0.23	60	0.23	20
E3IT24	0.24	60	0.24	20
E3IT25	0.25	60	0.25	20
E3IT26	0.26	60	0.26	20
E3IT27	0.27	60	0.27	20
E3IT28	0.28	60	0.28	20
E3IT29	0.29	60	0.29	20
E3IT30	0.3	60	0.3	20
E3IT31	0.31	60	0.31	20
E3IT32	0.32	60	0.32	20
E3IT33	0.33	60	0.33	20
E3IT34	0.34	60	0.34	20
E3IT35	0.35	60	0.35	20
E3IT36	0.36	60	0.36	20
E3IT37	0.37	60	0.37	20
E3IT38	0.38	60	0.38	20
E3IT39	0.39	60	0.39	20
E3IT40	0.4	60	0.4	20
E3IT41	0.41	60	0.41	20
E3IT42	0.42	60	0.42	20
E3IT43	0.43	60	0.43	20
E3IT44	0.44	60	0.44	20
E3IT45	0.45	60	0.45	20
E3IT46	0.46	60	0.46	20
E3IT47	0.47	60	0.47	20
E3IT48	0.48	60	0.48	20
E3IT49	0.49	60	0.49	20
E3IT50	0.5	60	0.5	20
E3IT51	0.51	60	0.51	20
E3IT52	0.52	60	0.52	20
E3IT53	0.53	60	0.53	20
E3IT54	0.54	60	0.54	20
E3IT55	0.55	60	0.55	20
E3IT56	0.56	60	0.56	20
E3IT57	0.57	60	0.57	20
E3IT58	0.58	60	0.58	20
E3IT59	0.59	60	0.59	20
E3IT60	0.6	60	0.6	20
E3IT61	0.61	60	0.61	20
E3IT62	0.62	60	0.62	20
E3IT63	0.63	60	0.63	20
E3IT64	0.64	60	0.64	20
E3IT65	0.65	60	0.65	20
E3IT66	0.66	60	0.66	20
E3IT67	0.67	60	0.67	20
E3IT68	0.68	60	0.68	20
E3IT69	0.69	60	0.69	20
E3IT70	0.7	60	0.7	20
E3IT71	0.71	60	0.71	20
E3IT72	0.72	60	0.72	20
E3IT73	0.73	60	0.73	20
E3IT74	0.74	60	0.74	20
E3IT75	0.75	60	0.75	20
E3IT76	0.76	60	0.76	20
E3IT77	0.77	60	0.77	20
E3IT78	0.78	60	0.78	20
E3IT79	0.79	60	0.79	20
E3IT80	0.8	60	0.8	20
E3IT81	0.81	60	0.81	20
E3IT82	0.82	60	0.82	20
E3IT83	0.83	60	0.83	20
E3IT84	0.84	60	0.84	20
E3IT85	0.85	60	0.85	20
E3IT86	0.86	60	0.86	20
E3IT87	0.87	60	0.87	20
E3IT88	0.88	60	0.88	20
E3IT89	0.89	60	0.89	20
E3IT90	0.9	60	0.9	20
E3IT91	0.91	60	0.91	20
E3IT92	0.92	60	0.92	20
E3IT93	0.93	60	0.93	20
E3IT94	0.94	60	0.94	20
E3IT95	0.95	60	0.95	20
E3IT96	0.96	60	0.96	20
E3IT97	0.97	60	0.97	20
E3IT98	0.98	60	0.98	20
E3IT99	0.99	60	0.99	20
E3IT100	1	60	1	20
E3IT101	1.01	60	1.01	20
E3IT102	1.02	60	1.02	20
E3IT103	1.03	60	1.03	20
E3IT104	1.04	60	1.04	20
E3IT105	1.05	60	1.05	20
E3IT106	1.06	60	1.06	20
E3IT107	1.07	60	1.07	20
E3IT108	1.08	60	1.08	20
E3IT109	1.09	60	1.09	20
E3IT110	1.1	60	1.1	20
E3IT111	1.11	60	1.11	20
E3IT112	1.12	60	1.12	20
E3IT113	1.13	60	1.13	20
E3IT114	1.14	60	1.14	20
E3IT115	1.15	60	1.15	20
E3IT116	1.16	60	1.16	20
E3IT117	1.17	60	1.17	20
E3IT118	1.18	60	1.18	20
E3IT119	1.19	60	1.19	20
E3IT120	1.2	60	1.2	20
E3IT121	1.21	60	1.21	20
E3IT122	1.22	60	1.22	20
E3IT123	1.23	60	1.23	20
E3IT124	1.24	60	1.24	20
E3IT125	1.25	60	1.25	20
E3IT126	1.26	60	1.26	20
E3IT127	1.27	60	1.27	20
E3IT128	1.28	60	1.28	20
E3IT129	1.29	60	1.29	20
E3IT130	1.3	60	1.3	20
E3IT131	1.31	60	1.31	20
E3IT132	1.32	60	1.32	20
E3IT133	1.33	60	1.33	20
E3IT134	1.34	60	1.34	20
E3IT135	1.35	60	1.35	20
E3IT136	1.36	60	1.36	20
E3IT137	1.37	60	1.37	20
E3IT138	1.38	60	1.38	20
E3IT139	1.39	60	1.39	20
E3IT140	1.4	60	1.4	20
E3IT141	1.41	60	1.41	20
E3IT142	1.42	60	1.42	20
E3IT143	1.43	60	1.43	20
E3IT144	1.44	60	1.44	20
E3IT145	1.45	60	1.45	20
E3IT146	1.46	60	1.46	20
E3IT147	1.47	60	1.47	20
E3IT148	1.48	60	1.48	20
E3IT149	1.49	60	1.49	20
E3IT150	1.5	60	1.5	20
E3IT151	1.51	60	1.51	20
E3IT152	1.52	60	1.52	20
E3IT153	1.53	60	1.53	20
E3IT154	1.54	60	1.54	20
E3IT155	1.55	60	1.55	20
E3IT156	1.56	60	1.56	20
E3IT157	1.57	60	1.57	20
E3IT158	1.58	60	1.58	20
E3IT159	1.59	60	1.59	20
E3IT160	1.6	60	1.6	20
E3IT161	1.61	60	1.61	20
E3IT162	1.62	60	1.62	20
E3IT163	1.63	60	1.63	20
E3IT164	1.64	60	1.64	20
E3IT165	1.65	60	1.65	20
E3IT166	1.66	60	1.66	20
E3IT167	1.67	60	1.67	20
E3IT168	1.68	60	1.68	20
E3IT169	1.69	60	1.69	20
E3IT170	1.7	60	1.7	20
E3IT171	1.71	60	1.71	20
E3IT172	1.72	60	1.72	20
E3IT173	1.73	60	1.73	20
E3IT174	1.74	60	1.74	20
E3IT175	1.75	60	1.75	20
E3IT176	1.76	60	1.76	20
E3IT177	1.77	60	1.77	20
E3IT178	1.78	60	1.78	20
E3IT179	1.79	60	1.79	20
E3IT180	1.8	60	1.8	20
E3IT181	1.81	60	1.81	20
E3IT182	1.82	60	1.82	20
E3IT183	1.83	60	1.83	20
E3IT184	1.84	60	1.84	20
E3IT185	1.85	60	1.85	20
E3IT186	1.86	60	1.86	20
E3IT187	1.87	60	1.87	20
E3IT188	1.88	60	1.88	20
E3IT189	1.89	60	1.89	20
E3IT190	1.9	60	1.9	20
E3IT191	1.91	60	1.91	20
E3IT192	1.92	60	1.92	20
E3IT193	1.93	60	1.93	20
E3IT194	1.94	60	1.94	20
E3IT195	1.95	60	1.95	20
E3IT196	1.96	60	1.96	20
E3IT197	1.97	60	1.97	20
E3IT198	1.98	60	1.98	20
E3IT199	1.99	60	1.99	20
E3IT200	2	60	2	20
E3IT201	2.01	60	2.01	20
E3IT202	2.02	60	2.02	20
E3IT203	2.03	60	2.03	20
E3IT204	2.04	60	2.04	20
E3IT205	2.05	60	2.05	20
E3IT206	2.06	60	2.06	20
E3IT207	2.07	60	2.07	20
E3IT208	2.08	60	2.08	20
E3IT209	2.09	60	2.09	20
E3IT210	2.1	60	2.1	20
E3IT211	2.11	60	2.11	20
E3IT212	2.12	60	2.12	20
E3IT213	2.13	60	2.13	20
E3IT214	2.14	60	2.14	20
E3IT215	2.15	60	2.15	20
E3IT216	2.16	60	2.16	20
E3IT217	2.17	60	2.17	20
E3IT218	2.18	60	2.18	20
E3IT219	2.19	60	2.19	20
E3IT220	2.2	60	2.2	20
E3IT221	2.21	60	2.21	20
E3IT222	2.22	60	2.22	20
E3IT223	2.23	60	2.23	20
E3IT224	2.24	60	2.24	20
E3IT225	2.25	60	2.25	20
E3IT226	2.26	60	2.26	20
E3IT227	2.27	60	2.27	20
E3IT228	2.28	60	2.28	20
E3IT229	2.29	60	2.29	20
E3IT230	2.3	60	2.3	20
E3IT231	2.31	60	2.31	20
E3IT232	2.32	60	2.32	20
E3IT233	2.33	60	2.33	20
E3IT234	2.34	60	2.34	20
E3IT235	2.35	60	2.35	20
E3IT236	2.36	60	2.36	20
E3IT237	2.37	60	2.37	20
E3IT238	2.38	60	2.38	20
E3IT239	2.39	60	2.39	20
E3IT240	2.4	60	2.4	20
E3IT241	2.41	60	2.41	20
E3IT242	2.42	60	2.42	20
E3IT243	2.43	60	2.43	20
E3IT244	2.44	60	2.44	20
E3IT245	2.45	60	2.45	20
E3IT246	2.46	60	2.46	20
E3IT247	2.47	60	2.47	20
E3IT248	2.48	60	2.48	20
E3IT249	2.49	60	2.49	20
E3IT250	2.5	60	2.5	20
E3IT251	2.51	60	2.51	20
E3IT252	2.52	60	2.52	20
E3IT253	2.53	60	2.53	20
E3IT254	2.54	60	2.54	20
E3IT255	2.55	60	2.55	20
E3IT256	2.56	60	2.56	20
E3IT257	2.57	60	2.57	20
E3IT258	2.58	60	2.58	20
E3IT259	2.59	60	2.59	20
E3IT260	2.6	60	2.6	20
E3IT261	2.61	60	2.61	20
E3IT262	2.62	60	2.62	20
E3IT263	2.63	60	2.63	20
E3IT264	2.64	60	2.64	20
E3IT265	2.65	60	2.65	20
E3IT266	2.66	60	2.66	20
E3IT267	2.67	60	2.67	20
E3IT268	2.68	60	2.68	20
E3IT269	2.69	60	2.69	20
E3IT270	2.7	60	2.7	20
E3IT271	2.71	60	2.71	20
E3IT272	2.72	60	2.72	20
E3IT273	2.73	60	2.73	20
E3IT274	2.74	60	2.74	20
E3IT275	2.75	60	2.75	20
E3IT276	2.76	60	2.76	20
E3IT277	2.77	60	2.77	20
E3IT278	2.78	60	2.78	20
E3IT279	2.79	60	2.79	20
E3IT280	2.8	60	2.8	20
E3IT281	2.81	60	2.81	20
E3IT282	2.82	60	2.82	20
E3IT283	2.83	60	2.83	20
E3IT284	2.84	60	2.84	20
E3IT285	2.85	60	2.85	20
E3IT286	2.86	60	2.86	20
E3IT287	2.87	60	2.87	20
E3IT288	2.88	60	2.88	20
E3IT289	2.89	60	2.89	20
E3IT290	2.9	60	2.9	20
E3IT291	2.91	60	2.91	20
E3IT292	2.92	60	2.92	20
E3IT293	2.93	60	2.93	20
E3IT294	2.94	60	2.94	20
E3IT295	2.95	60	2.95	20
E3IT296	2.96	60	2.96	20
E3IT297	2.97	60	2.97	20
E3IT298	2.98	60	2.98	20
E3IT299	2.99	60	2.99	20
E3IT300	3	60	3	20
E3IT301	3.01	60	3.01	441.6987
E3IT302	3.02	60	3.02	792.764
E3IT303	3.03	60	3.03	1042.2371
E3IT304	3.04	60	3.04	1216.6931
E3IT305	3.05	60	3.05	1335.8136
E3IT306	3.06	60	3.06	1414.1736
E3IT307	3.07	60	3.07	1462.5652
E3IT308	3.08	60	3.08	1488.9781
E3IT309	3.09	60	3.09	1499.326
E3IT310	3.1	60	3.1	1497.9852
E3IT311	3.11	60	3.11	1488.1924
E3IT312	3.12	60	3.12	1472.341
E3IT313	3.13	60	3.13	1452.1993
E3IT314	3.14	60	3.14	1429.0726
E3IT315	3.15	60	3.15	1403.9236
E3IT316	3.16	60	3.16	1377.461
E3IT317	3.17	60	3.17	1350.2056
E3IT318	3.18	60	3.18	1322.5392
E3IT319	3.19	60	3.19	1294.7405
E3IT320	3.2	60	3.2	1267.0118
E3IT321	3.21	60	3.21	1239.4995
E3IT322	3.22	60	3.22	1212.3079
E3IT323	3.23	60	3.23	1185.5108
E3IT324	3.24	60	3.24	1159.1591
E3IT325	3.25	60	3.25	1133.2871
E3IT326	3.26	60	3.26	1107.9167
E3IT327	3.27	60	3.27	1083.0608
E3IT328	3.28	60	3.28	1058.7257
E3IT329	3.29	60	3.29	1034.9127
E3IT330	3.3	60	3.3	1011.6197
E3IT331	3.31	60	3.31	988.8421
E3IT332	3.32	60	3.32	966.5736
E3IT333	3.33	60	3.33	944.8064
E3IT334	3.34	60	3.34	923.5319
E3IT335	3.35	60	3.35	902.7411
E3IT336	3.36	60	3.36	882.4244
E3IT337	3.37	60	3.37	862.5721
E3IT338	3.38	60	3.38	843.1745
E3IT339	3.39	60	3.39	824.2217
E3IT340	3.4	60	3.4	805.704
E3IT341	3.41	60	3.41	787.6117
E3IT342	3.42	60	3.42	769.9353
E3IT343	3.43	60	3.43	752.6655
E3IT344	3.44	60	3.44	735.793
E3IT345	3.45	60	3.45	719.3087
E3IT346	3.46	60	3.46	703.2038
E3IT347	3.47	60	3.47	687.4697
E3IT348	3.48	60	3.48	672.0978
E3IT349	3.49	60	3.49	657.0798
E3IT350	3.5	60	3.5	642.4076
E3IT351	3.51	60	3.51	628.0734
E3IT352	3.52	60	3.52	614.0691
E3IT353	3.53	60	3.53	600.3874
E3IT354	3.54	60	3.54	587.0208
E3IT355	3.55	60	3.55	573.962
E3IT356	3.56	60	3.56	561.2039
E3IT357	3.57	60	3.57	548.7396
E3IT358	3.58	60	3.58	536.5624
E3IT359	3.59	60	3.59	524.6657
E3IT360	3.6	60	3.6	513.0429
E3IT361	3.61	60	3.61	501.6878
E3IT362	3.62	60	3.62	490.5942
E3IT363	3.63	60	3.63	479.7561
E3IT364	3.64	60	3.64	469.1677
E3IT365	3.65	60	3.65	458.8231
E3IT366	3.66	60	3.66	448.7167
E3IT367	3.67	60	3.67	438.8431
E3IT368	3.68	60	3.68	429.1968
E3IT369	3.69	60	3.69	419.7727
E3IT370	3.7	60	3.7	410.5657
E3IT371	3.71	60	3.71	401.5707
E3IT372	3.72	60	3.72	392.7829
E3IT373	3.73	60	3.73	384.1975
E3IT374	3.74	60	3.74	375.8098
E3IT375	3.75	60	3.75	367.6153
E3IT376	3.76	60	3.76	359.6094
E3IT377	3.77	60	3.77	351.788
E3IT378	3.78	60	3.78	344.1467
E3IT379	3.79	60	3.79	336.6814
E3IT380	3.8	60	3.8	329.388
E3IT381	3.81	60	3.81	322.2626
E3IT382	3.82	60	3.82	315.3013
E3IT383	3.83	60	3.83	308.5003
E3IT384	3.84	60	3.84	301.856
E3IT385	3.85	60	3.85	295.3647
E3IT386	3.86	60	3.86	289.0228
E3IT387	3.87	60	3.87	282.8271
E3IT388	3.88	60	3.88	276.774
E3IT389	3.89	60	3.89	270.8603
E3IT390	3.9	60	3.9	265.0828
E3IT391	3.91	60	3.91	259.4384
E3IT392	3.92	60	3.92	253.924
E3IT393	3.93	60	3.93	248.5366
E3IT394	3.94	60	3.94	243.2732
E3IT395	3.95	60	3.95	238.1311
E3IT396	3.96	60	3.96	233.1074
E3IT397	3.97	60	3.97	228.1994
E3IT398	3.98	60	3.98	223.4044
E3IT399	3.99	60	3.99	218.7199
E3IT400	4	60	4	214.1432
E3IT401	4.01	469.7472	4.01	209.672
E3IT402	4.02	854.1234	4.02	205.3037
E3IT403	4.03	1067.3443	4.03	201.0361
E3IT404	4.04	1169.2297	4.04	196.8667
E3IT405	4.05	1199.7565	4.05	192.7933
E3IT406	4.06	1185.5531	4.06	188.8138
E3IT407	4.07	1144.2751	4.07	184.9259
E3IT408	4.08	1087.5545	4.08	181.1276
E3IT409	4.09	1022.9852	4.09	177.4167
E3IT410	4.1	955.4605	4.1	173.7913
E3IT411	4.11	1174.4471	4.11	170.2493
E3IT412	4.12	1638.1101	4.12	166.789
E3IT413	4.13	1903.2739	4.13	163.4084
E3IT414	4.14	2038.798	4.14	160.1056
E3IT415	4.15	2090.7435	4.15	156.8789
E3IT416	4.16	2085.4083	4.16	153.7264
E3IT417	4.17	2025.8329	4.17	150.6466
E3IT418	4.18	1932.3749	4.18	147.6378
E3IT419	4.19	1820.8	4.19	144.6982
E3IT420	4.2	1701.3195	4.2	141.8263
E3IT421	4.21	1566.9624	4.21	139.0206
E3IT422	4.22	2172.2966	4.22	136.2794
E3IT423	4.23	2530.634	4.23	133.6014
E3IT424	4.24	2726.8373	4.24	130.9851
E3IT425	4.25	2817.7402	4.25	128.4291
