!!SBtab	SBtabVersion='1.0' Document='D1_LTP_time_window_SBtab' TableName='E5I' TableTitle='D1_LTP_time_window_SBtab E5I' TableType = 'QuantityMatrix'			
!ID	!Input_Time_S24	>S24	!Input_Time_S48	>S48
E5IT0	0	60	0	20
E5IT1	0.01	60	0.01	20
E5IT2	0.02	60	0.02	20
E5IT3	0.03	60	0.03	20
E5IT4	0.04	60	0.04	20
E5IT5	0.05	60	0.05	20
E5IT6	0.06	60	0.06	20
E5IT7	0.07	60	0.07	20
E5IT8	0.08	60	0.08	20
E5IT9	0.09	60	0.09	20
E5IT10	0.1	60	0.1	20
E5IT11	0.11	60	0.11	20
E5IT12	0.12	60	0.12	20
E5IT13	0.13	60	0.13	20
E5IT14	0.14	60	0.14	20
E5IT15	0.15	60	0.15	20
E5IT16	0.16	60	0.16	20
E5IT17	0.17	60	0.17	20
E5IT18	0.18	60	0.18	20
E5IT19	0.19	60	0.19	20
E5IT20	0.2	60	0.2	20
E5IT21	0.21	60	0.21	20
E5IT22	0.22	60	0.22	20
E5IT23	0.23	60	0.23	20
E5IT24	0.24	60	0.24	20
E5IT25	0.25	60	0.25	20
E5IT26	0.26	60	0.26	20
E5IT27	0.27	60	0.27	20
E5IT28	0.28	60	0.28	20
E5IT29	0.29	60	0.29	20
E5IT30	0.3	60	0.3	20
E5IT31	0.31	60	0.31	20
E5IT32	0.32	60	0.32	20
E5IT33	0.33	60	0.33	20
E5IT34	0.34	60	0.34	20
E5IT35	0.35	60	0.35	20
E5IT36	0.36	60	0.36	20
E5IT37	0.37	60	0.37	20
E5IT38	0.38	60	0.38	20
E5IT39	0.39	60	0.39	20
E5IT40	0.4	60	0.4	20
E5IT41	0.41	60	0.41	20
E5IT42	0.42	60	0.42	20
E5IT43	0.43	60	0.43	20
E5IT44	0.44	60	0.44	20
E5IT45	0.45	60	0.45	20
E5IT46	0.46	60	0.46	20
E5IT47	0.47	60	0.47	20
E5IT48	0.48	60	0.48	20
E5IT49	0.49	60	0.49	20
E5IT50	0.5	60	0.5	20
E5IT51	0.51	60	0.51	20
E5IT52	0.52	60	0.52	20
E5IT53	0.53	60	0.53	20
E5IT54	0.54	60	0.54	20
E5IT55	0.55	60	0.55	20
E5IT56	0.56	60	0.56	20
E5IT57	0.57	60	0.57	20
E5IT58	0.58	60	0.58	20
E5IT59	0.59	60	0.59	20
E5IT60	0.6	60	0.6	20
E5IT61	0.61	60	0.61	20
E5IT62	0.62	60	0.62	20
E5IT63	0.63	60	0.63	20
E5IT64	0.64	60	0.64	20
E5IT65	0.65	60	0.65	20
E5IT66	0.66	60	0.66	20
E5IT67	0.67	60	0.67	20
E5IT68	0.68	60	0.68	20
E5IT69	0.69	60	0.69	20
E5IT70	0.7	60	0.7	20
E5IT71	0.71	60	0.71	20
E5IT72	0.72	60	0.72	20
E5IT73	0.73	60	0.73	20
E5IT74	0.74	60	0.74	20
E5IT75	0.75	60	0.75	20
E5IT76	0.76	60	0.76	20
E5IT77	0.77	60	0.77	20
E5IT78	0.78	60	0.78	20
E5IT79	0.79	60	0.79	20
E5IT80	0.8	60	0.8	20
E5IT81	0.81	60	0.81	20
E5IT82	0.82	60	0.82	20
E5IT83	0.83	60	0.83	20
E5IT84	0.84	60	0.84	20
E5IT85	0.85	60	0.85	20
E5IT86	0.86	60	0.86	20
E5IT87	0.87	60	0.87	20
E5IT88	0.88	60	0.88	20
E5IT89	0.89	60	0.89	20
E5IT90	0.9	60	0.9	20
E5IT91	0.91	60	0.91	20
E5IT92	0.92	60	0.92	20
E5IT93	0.93	60	0.93	20
E5IT94	0.94	60	0.94	20
E5IT95	0.95	60	0.95	20
E5IT96	0.96	60	0.96	20
E5IT97	0.97	60	0.97	20
E5IT98	0.98	60	0.98	20
E5IT99	0.99	60	0.99	20
E5IT100	1	60	1	20
E5IT101	1.01	60	1.01	20
E5IT102	1.02	60	1.02	20
E5IT103	1.03	60	1.03	20
E5IT104	1.04	60	1.04	20
E5IT105	1.05	60	1.05	20
E5IT106	1.06	60	1.06	20
E5IT107	1.07	60	1.07	20
E5IT108	1.08	60	1.08	20
E5IT109	1.09	60	1.09	20
E5IT110	1.1	60	1.1	20
E5IT111	1.11	60	1.11	20
E5IT112	1.12	60	1.12	20
E5IT113	1.13	60	1.13	20
E5IT114	1.14	60	1.14	20
E5IT115	1.15	60	1.15	20
E5IT116	1.16	60	1.16	20
E5IT117	1.17	60	1.17	20
E5IT118	1.18	60	1.18	20
E5IT119	1.19	60	1.19	20
E5IT120	1.2	60	1.2	20
E5IT121	1.21	60	1.21	20
E5IT122	1.22	60	1.22	20
E5IT123	1.23	60	1.23	20
E5IT124	1.24	60	1.24	20
E5IT125	1.25	60	1.25	20
E5IT126	1.26	60	1.26	20
E5IT127	1.27	60	1.27	20
E5IT128	1.28	60	1.28	20
E5IT129	1.29	60	1.29	20
E5IT130	1.3	60	1.3	20
E5IT131	1.31	60	1.31	20
E5IT132	1.32	60	1.32	20
E5IT133	1.33	60	1.33	20
E5IT134	1.34	60	1.34	20
E5IT135	1.35	60	1.35	20
E5IT136	1.36	60	1.36	20
E5IT137	1.37	60	1.37	20
E5IT138	1.38	60	1.38	20
E5IT139	1.39	60	1.39	20
E5IT140	1.4	60	1.4	20
E5IT141	1.41	60	1.41	20
E5IT142	1.42	60	1.42	20
E5IT143	1.43	60	1.43	20
E5IT144	1.44	60	1.44	20
E5IT145	1.45	60	1.45	20
E5IT146	1.46	60	1.46	20
E5IT147	1.47	60	1.47	20
E5IT148	1.48	60	1.48	20
E5IT149	1.49	60	1.49	20
E5IT150	1.5	60	1.5	20
E5IT151	1.51	60	1.51	20
E5IT152	1.52	60	1.52	20
E5IT153	1.53	60	1.53	20
E5IT154	1.54	60	1.54	20
E5IT155	1.55	60	1.55	20
E5IT156	1.56	60	1.56	20
E5IT157	1.57	60	1.57	20
E5IT158	1.58	60	1.58	20
E5IT159	1.59	60	1.59	20
E5IT160	1.6	60	1.6	20
E5IT161	1.61	60	1.61	20
E5IT162	1.62	60	1.62	20
